run,run_id,job_index,agent_id,cell,model,effort,trial,item,model_verified,model_id,duration_s,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,tool_uses,started,ended,result_json,prompt_chars,mapping
finder-main,wf_c319bcab-229,10,ac82ca9502916c8e8,haiku:low,haiku,low,0,t1_mirror,True,claude-haiku-4-5-20251001,60.2,26,4193,79489,31687,3,2026-07-14T19:02:06.082Z,2026-07-14T19:03:06.324Z,"{""file"": ""<WORKTREE>/crates/aether-kinds/src/transforms.rs"", ""lens"": ""Test integrity"", ""findings"": [{""symbol"": ""mat4_apply_kind_name_is_stable"", ""line"": 69, ""category"": ""junk-test-derived-constant-mirror"", ""severity"": ""medium"", ""confidence"": ""high"", ""recommendation"": ""remove"", ""current_form"": ""#[test]\nfn mat4_apply_kind_name_is_stable() {\n    assert_eq!(Mat4Apply::NAME, \""aether.math.mat4_apply\"");\n}"", ""suggested_form"": ""Delete the entire test."", ""rationale"": ""Pins a derived constant (Mat4Apply::NAME from #[kind(name = \""…\"")]) against its own literal. Per the testing policy, this is a derived-constant mirror: the NAME value is not computed—it is retyped from the derive macro's input. Both the macro and test must change together, so the test exercises no independent logic this crate owns. The policy explicitly states: 'a comment over a value that cannot drift on its own is a mirror with a story told over the top, and the sweep treats it as junk.' True tripwires guard computed values (hashes, serialized bytes, derived KindIds) that can drift invisibly; NAME cannot. Routing contracts are validated at deployment time through the hub's describe_transforms surface, not via a derived-constant assertion.""}], ""lintCandidates"": [{""symbol"": ""tests module import"", ""note"": ""Line 41: `use aether_data::Kind;` is imported but unused. The test code uses Mat4Apply directly (imported line 40) and does not reference the Kind trait.""}]}",4924,order-inferred(effort)
finder-main,wf_c319bcab-229,11,a47a1c1dabbb1b23f,haiku:low,haiku,low,0,t2_roundtrip,True,claude-haiku-4-5-20251001,101.8,34,1949,133001,30919,6,2026-07-14T19:02:26.107Z,2026-07-14T19:04:07.937Z,"{""file"": ""<WORKTREE>/crates/aether-kinds/src/text_metrics.rs"", ""lens"": ""test-integrity"", ""findings"": [{""symbol"": ""font_metrics_survives_a_wire_roundtrip"", ""line"": 133, ""category"": ""derive-only-roundtrip"", ""severity"": ""medium"", ""confidence"": ""high"", ""recommendation"": ""remove"", ""current_form"": ""fn font_metrics_survives_a_wire_roundtrip() { let metrics = monospace_metrics(); let bytes = aether_data::wire::to_vec(&metrics)?; let decoded: FontMetrics = aether_data::wire::from_bytes(&bytes)?; assert_eq!(decoded.units_per_em, metrics.units_per_em); ... [field-by-field assertions] }"", ""suggested_form"": ""Delete the entire test function (lines 127-144)"", ""rationale"": ""Tests the wire codec from aether_data via a #[derive]d roundtrip. Per the testing policy: 'decode(encode(x)) == x over a type whose Serialize/Deserialize/Schema are all #[derive]d tests nothing this crate wrote... can fail only if the derive macro is broken, and that is tested where the macro lives.' FontMetrics exercises no logic owned by aether_kinds—only the external codec and derives. Field-by-field assertions and elaborate docstrings do not evidence load; they are 'the camouflage junk hides behind.'""}], ""lintCandidates"": []}",5241,order-inferred(effort)
finder-main,wf_c319bcab-229,12,a2feea0aa2943c149,haiku:low,haiku,low,0,c1_clean,True,claude-haiku-4-5-20251001,58.3,18,681,51218,26635,4,2026-07-14T19:02:43.525Z,2026-07-14T19:03:41.801Z,"{""file"": ""<WORKTREE>/crates/aether-capabilities/src/http/client/runtime.rs"", ""lens"": ""Correctness"", ""findings"": [], ""lintCandidates"": []}",7385,order-inferred(effort)
finder-main,wf_c319bcab-229,13,a16ecf8b55f0b4827,haiku:low,haiku,low,0,c2_clean,True,claude-haiku-4-5-20251001,69.7,18,5443,43156,32616,2,2026-07-14T19:02:52.002Z,2026-07-14T19:04:01.672Z,"{""file"": ""<WORKTREE>/crates/aether-capabilities/src/component/runtime/mod.rs"", ""lens"": ""Correctness"", ""findings"": [], ""lintCandidates"": []}",6332,order-inferred(effort)
finder-main,wf_c319bcab-229,14,ae437a33d25c85f29,haiku:low,haiku,low,0,c3_clean,True,claude-haiku-4-5-20251001,88.5,26,7058,102273,53507,3,2026-07-14T19:03:06.271Z,2026-07-14T19:04:34.785Z,"{""file"": ""<WORKTREE>/crates/aether-codec/src/encode.rs"", ""lens"": ""Correctness"", ""findings"": [], ""lintCandidates"": []}",6224,order-inferred(effort)
finder-main,wf_c319bcab-229,15,a0ee9e1a82a345ba2,haiku:low,haiku,low,0,c4_tripwire,True,claude-haiku-4-5-20251001,50.2,18,3709,42853,33207,2,2026-07-14T19:03:07.601Z,2026-07-14T19:03:57.753Z,"{""file"": ""crates/aether-data/src/hash.rs"", ""lens"": ""test-integrity"", ""findings"": [], ""lintCandidates"": []}",4748,order-inferred(effort)
finder-main,wf_c319bcab-229,16,a3e9f27b4bca40996,haiku:medium,haiku,medium,0,s1_swallowed_error,True,claude-haiku-4-5-20251001,77.2,18,6566,68306,7309,2,2026-07-14T19:03:17.104Z,2026-07-14T19:04:34.281Z,"{""file"": ""<WORKTREE>/crates/aether-capabilities/src/audio/runtime/handlers.rs"", ""lens"": ""Correctness"", ""findings"": [{""symbol"": ""handle_schedule / line 137"", ""line"": 137, ""category"": ""SWALLOWED_ERROR"", ""severity"": ""high"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""let _ = sender.push(ev);\n        ScheduleResult::Ok { accepted }"", ""suggested_form"": ""if sender.push(ev).is_err() {\n            return ScheduleResult::Err { error: \""audio event queue full — schedule dropped\"".to_owned() };\n        }"", ""rationale"": ""Replacing the `.is_err()` check with a silent discard causes handle_schedule to return ScheduleResult::Ok { accepted: N } even when all N events failed to queue. Callers are misled into believing events were scheduled when they were dropped. The handler returns a typed result specifically to communicate success/failure; silently dropping the error and returning Ok violates that contract.""}], ""lintCandidates"": []}",7508,order-inferred(effort)
finder-main,wf_c319bcab-229,17,a8bbb873b8faf90f9,haiku:medium,haiku,medium,0,s2_unwrap,True,claude-haiku-4-5-20251001,43.7,8,1922,33449,7971,2,2026-07-14T19:03:17.489Z,2026-07-14T19:04:01.227Z,"{""file"": ""<WORKTREE>/crates/aether-codec/src/frame.rs"", ""lens"": ""Correctness"", ""findings"": [{""symbol"": ""read_frame::<R,T> line 168"", ""line"": 168, ""category"": ""swallowed-error"", ""severity"": ""high"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""r.read_exact(&mut prefix_buf).unwrap();"", ""suggested_form"": ""r.read_exact(&mut prefix_buf)?;"", ""rationale"": ""The function returns Result<T, FrameError>, so all fallible I/O operations must propagate errors via ? rather than panic via unwrap(). The diff changed this from ? to .unwrap() — a regression. I/O errors at runtime (EOF, connection closed, etc.) are common and must return Err(FrameError::Io) per the From<io::Error> impl, not panic. This is inconsistent with the second read_exact on line 175 which correctly uses ?, and breaks the test on lines 332–338 that verifies I/O errors surface as FrameError::Io.""}], ""lintCandidates"": []}",5239,order-inferred(effort)
finder-main,wf_c319bcab-229,18,a35c63eabc22d3f34,haiku:medium,haiku,medium,0,s3_off_by_one,True,claude-haiku-4-5-20251001,80.1,18,6701,67048,10812,2,2026-07-14T19:03:36.401Z,2026-07-14T19:04:56.546Z,"{""file"": ""crates/aether-capabilities/src/text/runtime/atlas.rs"", ""lens"": ""Correctness"", ""findings"": [{""symbol"": ""Atlas::pack() — shelf_height tracking"", ""line"": 211, ""category"": ""INVARIANT_VIOLATION"", ""severity"": ""high"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""self.shelf_height = self.shelf_height.max(height);"", ""suggested_form"": ""self.shelf_height = self.shelf_height.max(padded_height);"", ""rationale"": ""The shelf packing allocates `padded_width × padded_height` space per glyph (lines 196–197), but the change to track only unpadded `height` breaks the shelf invariant. When the shelf advances to the next row via line 202 (`self.shelf_y = self.shelf_y.checked_add(self.shelf_height)?`), it advances by the unpadded height, not the reserved padded height. Glyphs in subsequent shelves will overlap with the padding area of the previous shelf. Concrete scenario: a glyph at (0,0) with height=50 and GLYPH_PADDING=1 reserves 51 pixels vertically, but shelf_height is set to 50; the next shelf starts at y=50 instead of y=51, causing overlap with the first glyph's padding zone.""}], ""lintCandidates"": []}",5423,order-inferred(effort)
finder-main,wf_c319bcab-229,19,a9f251af4a2f9b0ef,haiku:medium,haiku,medium,0,s4_silent_noop,True,claude-haiku-4-5-20251001,112.8,10,201,33531,0,2,2026-07-14T19:03:47.316Z,2026-07-14T19:05:40.128Z,"{""file"": ""<WORKTREE>/crates/aether-capabilities/src/trace/walk.rs"", ""lens"": ""Correctness"", ""findings"": [{""symbol"": ""TreeWalk::absorb (lines 88-94)"", ""line"": 90, ""category"": ""silent-incompleteness"", ""severity"": ""high"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""if let TraceEvent::Sent { recipient, .. } = entry.event {\n    if self.visited.contains(&recipient) {\n        continue;\n    }\n    self.frontier.push_back(recipient);\n}\nself.collected.push(entry);"", ""suggested_form"": ""if let TraceEvent::Sent { recipient, .. } = entry.event {\n    if !self.visited.contains(&recipient) {\n        self.frontier.push_back(recipient);\n    }\n}\nself.collected.push(entry);"", ""rationale"": ""The `continue` at line 90 skips `self.collected.push(entry)`, causing Sent events to already-visited recipients to be discarded. The old guard-based logic always collected all entries regardless of visit status—only the frontier-enqueue was conditional. This change causes information loss during tree reconstruction: the `finish()` method depends on `self.collected` to stitch the complete trace tree, and dropping events violates the method's contract to reconstruct the full tree. If mailbox B sends to already-visited mailbox A, that Sent event is now lost, preventing accurate dependency tracking in the reconstructed tree.""}], ""lintCandidates"": []}",5589,order-inferred(effort)
finder-main,wf_c319bcab-229,20,a6a2a0a8fb4920709,haiku:medium,haiku,medium,0,s5_bounds_order,True,claude-haiku-4-5-20251001,77.1,26,6348,106343,7058,3,2026-07-14T19:03:48.089Z,2026-07-14T19:05:05.202Z,"{""file"": ""<WORKTREE>/crates/aether-codec/src/decode.rs"", ""lens"": ""correctness"", ""findings"": [{""symbol"": ""decode_wire_value @ SchemaType::Vec arm, line 334"", ""line"": 334, ""category"": ""correctness"", ""severity"": ""high"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""let mut arr = Vec::with_capacity(len.min(cur.bytes.len()));"", ""suggested_form"": ""let mut arr = Vec::with_capacity(len.min(cur.remaining()));"", ""rationale"": ""The change replaces `cur.remaining()` (bytes left to read from cursor position = `bytes.len() - pos`) with `cur.bytes.len()` (total buffer size, ignoring current position). The comment above (lines 329–333) explicitly states: 'Clamp the pre-allocation against the bytes that remain.' This is the load-bearing bound: a wire-encoded element occupies ≥1 byte, so we must not allocate capacity beyond what we can actually read. If cursor is at position 999/1000 and decoding len=100, the old code allocates `min(100, 1) = 1`, the new code allocates `min(100, 1000) = 100`, breaking the bounds clamp and contradicting the documented intent. While the loop bounds are still checked at runtime via `decode_wire_value` failures, the capacity hint is now factually wrong and defeats the documented budget mechanism.""}], ""lintCandidates"": []}",5093,order-inferred(effort)
finder-main,wf_c319bcab-229,21,acb5b6910f5323ed6,haiku:medium,haiku,medium,0,s6_leak,True,claude-haiku-4-5-20251001,59.2,18,4994,67394,5355,2,2026-07-14T19:03:59.179Z,2026-07-14T19:04:58.352Z,"{""file"": ""crates/aether-capabilities/src/render/runtime/texture.rs"", ""lens"": ""Correctness"", ""findings"": [{""symbol"": ""apply_subrect (line 37)"", ""line"": 41, ""category"": ""invariant-violation"", ""severity"": ""high"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""self.dirty = true; // placed before validation checks at lines 42-45"", ""suggested_form"": ""Move self.dirty = true; to after line 54 (after pixel copy loop, before final `true` return)"", ""rationale"": ""The docstring contract (lines 31-36) states the function returns `false` 'without touching the staged pixels' on validation failure. The `dirty` flag is part of texture state; setting it before the bounds check (line 42) and pixel-length check (line 44) violates the invariant that state is unchanged when `false` is returned. If validation fails after `dirty` is set, the texture is marked dirty despite no actual pixel update, causing `ensure_realized` (line 67) to perform unnecessary GPU re-uploads and potentially corrupt GPU memory. The old code was correct: validate first, then update state only if all checks pass.""}], ""lintCandidates"": [{""symbol"": ""apply_subrect, variable rename in_bounds → rect_in_bounds"", ""note"": ""Clarity improvement only; no correctness issue. Renamed variable from `in_bounds` to `rect_in_bounds` (line 42) is more descriptive and has no semantic effect.""}]}",6197,order-inferred(effort)
finder-main,wf_c319bcab-229,22,a65f3aadd0b9c5bae,haiku:medium,haiku,medium,0,s7_ewma,True,claude-haiku-4-5-20251001,107.4,8,1806,33726,12003,2,2026-07-14T19:04:02.504Z,2026-07-14T19:05:49.951Z,"{""file"": ""settlement.rs"", ""lens"": ""correctness"", ""findings"": [{""symbol"": ""record_settlement_latency, line 101 else-branch"", ""line"": 101, ""category"": ""correctness"", ""severity"": ""high"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""sample_nanos + (prev_nanos - sample_nanos) * alpha / 1000"", ""suggested_form"": ""prev_nanos - (prev_nanos - sample_nanos) * alpha / 1000"", ""rationale"": ""The EWMA formula new = old + α·(sample - old) must apply symmetrically. Expanding: new = old·(1-α) + sample·α (weights history 80%, sample 20%). Original code correctly implements this in both branches. New code inverts the weights in the else-branch: new = sample·(1-α) + prev·α (weights history 20%, sample 80%). When latency decreases below the rolling estimate, this moves the EWMA away from the sample rather than toward it, breaking the smoothing behavior. Numeric example (prev=20ms, sample=10ms, α=0.2): correct result is 18ms (moving from 20 toward 10), new code gives 12ms (moving away). Test line 238 only covers sample≥prev, so this defect is undetected.""}], ""lintCandidates"": []}",6227,order-inferred(effort)
finder-main,wf_c319bcab-229,23,aa6a33c8a026d522e,haiku:medium,haiku,medium,0,s8_pan_law,True,claude-haiku-4-5-20251001,68.7,26,4300,106465,5160,4,2026-07-14T19:04:02.945Z,2026-07-14T19:05:11.636Z,"{""file"": ""<WORKTREE>/crates/aether-capabilities/src/audio/runtime/voice.rs"", ""lens"": ""Correctness"", ""findings"": [{""symbol"": ""pan_law / pan_norm divisor"", ""line"": 589, ""category"": ""invariant-violation"", ""severity"": ""high"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""let pan_norm = (f32::from(pan) / 128.0).clamp(-1.0, 1.0);"", ""suggested_form"": ""let pan_norm = (f32::from(pan) / 127.0).clamp(-1.0, 1.0);"", ""rationale"": ""Dividing by 128.0 breaks the constant-power panning symmetry. With i8 input (range -128 to 127), dividing by 128 maps pan=-128 to -1.0 (✓) but pan=127 to 0.99219 (✗), not 1.0. The documented contract states '127 hard right', but the new formula produces a right-channel gain of ~0.99999 instead of 1.0, creating an 0.8% asymmetry with hard-left. This violates the constant-power principle where symmetric extremes should have equal magnitude. The old formula (divide by 127) accepts -128/127≈-1.008 clamped to -1.0 but preserves 127→1.0 symmetry.""}], ""lintCandidates"": []}",6397,order-inferred(effort)
finder-main,wf_c319bcab-229,24,a730ee3c30978696e,haiku:medium,haiku,medium,0,r1_config_cap,True,claude-haiku-4-5-20251001,67.7,34,5065,155184,14432,4,2026-07-14T19:04:11.090Z,2026-07-14T19:05:18.800Z,"{""file"": ""<WORKTREE>/crates/aether-mcp/src/tools/components.rs"", ""lens"": ""Correctness"", ""findings"": [], ""lintCandidates"": []}",5532,order-inferred(effort)
finder-main,wf_c319bcab-229,25,abe6a2e028b5317a1,haiku:medium,haiku,medium,0,r2_fuel_order,True,claude-haiku-4-5-20251001,67.5,26,5315,108078,13154,3,2026-07-14T19:04:13.454Z,2026-07-14T19:05:20.915Z,"{""file"": ""<WORKTREE>/crates/aether-behavior/src/host/slot.rs"", ""lens"": ""correctness"", ""findings"": [{""symbol"": ""offer_state"", ""line"": 204, ""category"": ""swallowed-error"", ""severity"": ""medium"", ""confidence"": ""high"", ""recommendation"": ""fix"", ""current_form"": ""let _ = self.store.set_fuel(self.fuel_per_call);\nlet _ = load.call(&mut self.store, (ptr, len));"", ""suggested_form"": ""if self.store.set_fuel(self.fuel_per_call).is_err() {\n    tracing::warn!(target: \""aether_behavior\"", \""state_load fuel budget could not be set; ignoring prior state (fail-open)\"");\n    return;\n}\nlet _ = load.call(&mut self.store, (ptr, len)); // trap is logged by consecutive-trap counter path or silently ignored per contract; but consider adding trace/debug log here too"", ""rationale"": ""The file's documented fail-open contract (lines 10-14) requires that failures log. `save_state` adheres to this: it logs when `set_fuel` fails (line 178) and when the export traps (line 185). `offer_state` silently discards both errors with `let _`, breaking observability and violating the contract. A `set_fuel` failure is particularly critical—the script then runs without fuel metering, undermining the substrate's safety guarantee. The early returns for missing export and write failure are appropriate, but post-write errors must log.""}], ""lintCandidates"": []}",4020,order-inferred(effort)
